fraction,tree,extinction,estimate,mape
0.25,tree.1,no_ext,mape.incomplete,22.58112389625947
0.25,tree.1,no_ext,mape.mean,33.505979330816785
0.25,tree.1,no_ext,mape.median,23.508733370786565
0.25,tree.1,no_ext,mape.mean.new,25.80317283077124
0.25,tree.1,no_ext,mape.median.new,22.581126137854472
0.25,tree.10,no_ext,mape.incomplete,102.59423798809422
0.25,tree.10,no_ext,mape.mean,95.96760617879148
0.25,tree.10,no_ext,mape.median,104.78444636691245
0.25,tree.10,no_ext,mape.mean.new,88.76594892212785
0.25,tree.10,no_ext,mape.median.new,102.5942395736696
0.25,tree.100,no_ext,mape.incomplete,143.2775053882685
0.25,tree.100,no_ext,mape.mean,125.36147390846284
0.25,tree.100,no_ext,mape.median,143.7597742568608
0.25,tree.100,no_ext,mape.mean.new,123.01505484462196
0.25,tree.100,no_ext,mape.median.new,143.27750404972727
0.25,tree.1000,no_ext,mape.incomplete,188.50161088094913
0.25,tree.1000,no_ext,mape.mean,164.41059639408783
0.25,tree.1000,no_ext,mape.median,189.87395523825919
0.25,tree.1000,no_ext,mape.mean.new,143.7217503775131
0.25,tree.1000,no_ext,mape.median.new,188.5016090147658
0.25,tree.101,no_ext,mape.incomplete,179.15935120420053
0.25,tree.101,no_ext,mape.mean,154.9375507262956
0.25,tree.101,no_ext,mape.median,179.66789236415207
0.25,tree.101,no_ext,mape.mean.new,140.63763486416752
0.25,tree.101,no_ext,mape.median.new,179.15934895611863
0.25,tree.102,no_ext,mape.incomplete,359.144958740362
0.25,tree.102,no_ext,mape.mean,287.16058417678096
0.25,tree.102,no_ext,mape.median,341.9895585264634
0.25,tree.102,no_ext,mape.mean.new,339.13911992750127
0.25,tree.102,no_ext,mape.median.new,359.1449279007157
0.25,tree.103,no_ext,mape.incomplete,196.94039419977253
0.25,tree.103,no_ext,mape.mean,169.77090567859108
0.25,tree.103,no_ext,mape.median,197.00157011392557
0.25,tree.103,no_ext,mape.mean.new,178.035432443554
0.25,tree.103,no_ext,mape.median.new,196.94039127468216
0.25,tree.104,no_ext,mape.incomplete,146.01757030929664
0.25,tree.104,no_ext,mape.mean,129.95014537231998
0.25,tree.104,no_ext,mape.median,147.45789395576196
0.25,tree.104,no_ext,mape.mean.new,123.78219985569254
0.25,tree.104,no_ext,mape.median.new,146.01756969624503
0.25,tree.105,no_ext,mape.incomplete,70.30893093558915
0.25,tree.105,no_ext,mape.mean,72.53217952265909
0.25,tree.105,no_ext,mape.median,73.04699047191993
0.25,tree.105,no_ext,mape.mean.new,61.89255569872061
0.25,tree.105,no_ext,mape.median.new,70.30893907798628
0.25,tree.106,no_ext,mape.incomplete,736.8014335022023
0.25,tree.106,no_ext,mape.mean,594.2564399828791
0.25,tree.106,no_ext,mape.median,735.9940960658529
0.25,tree.106,no_ext,mape.mean.new,588.4412724205343
0.25,tree.106,no_ext,mape.median.new,736.8014145581061
0.25,tree.107,no_ext,mape.incomplete,163.40116154443177
0.25,tree.107,no_ext,mape.mean,143.9445962504311
0.25,tree.107,no_ext,mape.median,166.06326634995386
0.25,tree.107,no_ext,mape.mean.new,130.3454637630968
0.25,tree.107,no_ext,mape.median.new,163.40117875677007
0.25,tree.108,no_ext,mape.incomplete,59.49495447882733
0.25,tree.108,no_ext,mape.mean,60.739067088258736
0.25,tree.108,no_ext,mape.median,60.0969612349959
0.25,tree.108,no_ext,mape.mean.new,51.868876225491256
0.25,tree.108,no_ext,mape.median.new,59.494955249888235
0.25,tree.109,no_ext,mape.incomplete,53.67523247782049
0.25,tree.109,no_ext,mape.mean,56.875952442817294
0.25,tree.109,no_ext,mape.median,54.003479387141596
0.25,tree.109,no_ext,mape.mean.new,48.58975781384115
0.25,tree.109,no_ext,mape.median.new,53.67523327517774
0.25,tree.11,no_ext,mape.incomplete,316.8681026693924
0.25,tree.11,no_ext,mape.mean,262.4140699186527
0.25,tree.11,no_ext,mape.median,317.18841529142867
0.25,tree.11,no_ext,mape.mean.new,229.35880669497664
0.25,tree.11,no_ext,mape.median.new,316.8680970723657
0.25,tree.110,no_ext,mape.incomplete,79.71919986579007
0.25,tree.110,no_ext,mape.mean,76.57184872756531
0.25,tree.110,no_ext,mape.median,80.31587193846327
0.25,tree.110,no_ext,mape.mean.new,72.52192432886264
0.25,tree.110,no_ext,mape.median.new,79.7192000004587
0.25,tree.111,no_ext,mape.incomplete,125.25235586598002
0.25,tree.111,no_ext,mape.mean,112.98557747507732
0.25,tree.111,no_ext,mape.median,127.44957052030199
0.25,tree.111,no_ext,mape.mean.new,110.09006965309409
0.25,tree.111,no_ext,mape.median.new,125.25235753245715
0.25,tree.112,no_ext,mape.incomplete,59.39726903185025
0.25,tree.112,no_ext,mape.mean,63.48561576318683
0.25,tree.112,no_ext,mape.median,60.54393454088264
0.25,tree.112,no_ext,mape.mean.new,53.80831803453396
0.25,tree.112,no_ext,mape.median.new,59.39727104693511
0.25,tree.113,no_ext,mape.incomplete,434.22725693082714
0.25,tree.113,no_ext,mape.mean,357.3892307084715
0.25,tree.113,no_ext,mape.median,436.15302198886855
0.25,tree.113,no_ext,mape.mean.new,340.1047266260192
0.25,tree.113,no_ext,mape.median.new,434.2272538615049
0.25,tree.114,no_ext,mape.incomplete,362.8375813842125
0.25,tree.114,no_ext,mape.mean,300.2348601815364
0.25,tree.114,no_ext,mape.median,363.6941508642782
0.25,tree.114,no_ext,mape.mean.new,279.944522416034
0.25,tree.114,no_ext,mape.median.new,362.83757414570334
0.25,tree.115,no_ext,mape.incomplete,202.64078249097986
0.25,tree.115,no_ext,mape.mean,171.56829759180803
0.25,tree.115,no_ext,mape.median,203.4494479262309
0.25,tree.115,no_ext,mape.mean.new,167.64059396054142
0.25,tree.115,no_ext,mape.median.new,202.64077951606504
0.25,tree.116,no_ext,mape.incomplete,272.47491244145124
0.25,tree.116,no_ext,mape.mean,227.445129703209
0.25,tree.116,no_ext,mape.median,272.5969266019057
0.25,tree.116,no_ext,mape.mean.new,205.05060525035995
0.25,tree.116,no_ext,mape.median.new,272.4749084244461
0.25,tree.117,no_ext,mape.incomplete,154.6807933091767
0.25,tree.117,no_ext,mape.mean,136.32290587815928
0.25,tree.117,no_ext,mape.median,155.18240015829363
0.25,tree.117,no_ext,mape.mean.new,118.50765237426255
0.25,tree.117,no_ext,mape.median.new,154.68079246425154
0.25,tree.118,no_ext,mape.incomplete,200.73280622579372
0.25,tree.118,no_ext,mape.mean,171.31677733011873
0.25,tree.118,no_ext,mape.median,200.84300436785423
0.25,tree.118,no_ext,mape.mean.new,171.53928685048047
0.25,tree.118,no_ext,mape.median.new,200.73280297105492
0.25,tree.119,no_ext,mape.incomplete,346.3154260615851
0.25,tree.119,no_ext,mape.mean,286.0171007270212
0.25,tree.119,no_ext,mape.median,346.240422642025
0.25,tree.119,no_ext,mape.mean.new,271.7471174428184
0.25,tree.119,no_ext,mape.median.new,346.3154179983762
0.25,tree.12,no_ext,mape.incomplete,217.16112287818467
0.25,tree.12,no_ext,mape.mean,183.31444657652793
0.25,tree.12,no_ext,mape.median,217.09754443299624
0.25,tree.12,no_ext,mape.mean.new,177.87545410812626
0.25,tree.12,no_ext,mape.median.new,217.16111892109845
0.25,tree.120,no_ext,mape.incomplete,100.27574919350259
0.25,tree.120,no_ext,mape.mean,96.34302017544162
0.25,tree.120,no_ext,mape.median,102.82570574206677
0.25,tree.120,no_ext,mape.mean.new,98.35151127431129
0.25,tree.120,no_ext,mape.median.new,100.27575072821797
0.25,tree.121,no_ext,mape.incomplete,55.4205790889417
0.25,tree.121,no_ext,mape.mean,56.81406910564368
0.25,tree.121,no_ext,mape.median,55.860631811771846
0.25,tree.121,no_ext,mape.mean.new,51.7106898649575
0.25,tree.121,no_ext,mape.median.new,55.42057971926474
0.25,tree.122,no_ext,mape.incomplete,56.70294601699663
0.25,tree.122,no_ext,mape.mean,60.76428752815028
0.25,tree.122,no_ext,mape.median,57.326324610572556
0.25,tree.122,no_ext,mape.mean.new,48.831396429327484
0.25,tree.122,no_ext,mape.median.new,56.70294717601955
0.25,tree.123,no_ext,mape.incomplete,49.085188840371316
0.25,tree.123,no_ext,mape.mean,53.57642936520055
0.25,tree.123,no_ext,mape.median,50.538190738886925
0.25,tree.123,no_ext,mape.mean.new,44.697787435365896
0.25,tree.123,no_ext,mape.median.new,49.08519107239364
0.25,tree.124,no_ext,mape.incomplete,43.39410361208622
0.25,tree.124,no_ext,mape.mean,52.541021481771665
0.25,tree.124,no_ext,mape.median,46.64471664750363
0.25,tree.124,no_ext,mape.mean.new,43.105131350265616
0.25,tree.124,no_ext,mape.median.new,43.39410928193353
0.25,tree.125,no_ext,mape.incomplete,89.04482900718229
0.25,tree.125,no_ext,mape.mean,86.34748263095288
0.25,tree.125,no_ext,mape.median,91.99620805519572
0.25,tree.125,no_ext,mape.mean.new,76.52503784211265
0.25,tree.125,no_ext,mape.median.new,89.04484623381744
0.25,tree.126,no_ext,mape.incomplete,107.80032194777223
0.25,tree.126,no_ext,mape.mean,98.96712270756957
0.25,tree.126,no_ext,mape.median,108.32036040024956
0.25,tree.126,no_ext,mape.mean.new,89.01246058525244
0.25,tree.126,no_ext,mape.median.new,107.8003214114704
0.25,tree.127,no_ext,mape.incomplete,179.4949213636237
0.25,tree.127,no_ext,mape.mean,154.71546358270228
0.25,tree.127,no_ext,mape.median,180.685201290551
0.25,tree.127,no_ext,mape.mean.new,155.75566439528444
0.25,tree.127,no_ext,mape.median.new,179.49491929650893
0.25,tree.128,no_ext,mape.incomplete,171.09540890679918
0.25,tree.128,no_ext,mape.mean,148.8799888315881
0.25,tree.128,no_ext,mape.median,171.00912284384017
0.25,tree.128,no_ext,mape.mean.new,163.74601067060405
0.25,tree.128,no_ext,mape.median.new,171.09540654364906
0.25,tree.129,no_ext,mape.incomplete,109.66071116356986
0.25,tree.129,no_ext,mape.mean,104.39195112943673
0.25,tree.129,no_ext,mape.median,114.27574454946846
0.25,tree.129,no_ext,mape.mean.new,95.03374007862952
