it	prior	PP_lik	BD_lik	q_0	q_1	q_2	root_age	death_age	w_shape	w_scale_0	mean_longevity_0	tot_length	
0	-12.367942	-5977.856065	-1177.281821	1.765329	1.120864	0.033197	23.795744	0.053774	0.811454	1.868495	2.095913	1669.193139
1	-12.284074	-5931.918562	-1180.913298	1.849399	1.051114	0.043888	24.086096	0.019411	0.801951	1.994311	2.255636	1662.692758
2	-12.412067	-5938.782947	-1184.214542	1.818796	1.170233	0.036292	23.993107	0.110951	0.694029	1.604353	2.047637	1664.777698
3	-12.977694	-5861.451781	-1175.890930	1.814538	1.234897	0.012911	24.789432	0.209313	0.678699	1.522836	1.987211	1628.950048
4	-13.550343	-5845.422517	-1176.743086	1.771510	1.309254	0.004064	24.417639	0.098247	0.649155	1.488430	2.036548	1614.046035
5	-13.743969	-5870.816461	-1168.495182	1.849862	1.278507	0.003260	25.211986	0.137506	0.793372	2.041018	2.326419	1613.878239
6	-13.169463	-5917.769029	-1174.617588	1.799995	1.102508	0.006942	24.392212	0.278840	0.740802	1.861653	2.239515	1639.440153
7	-13.296960	-5988.065506	-1178.728345	1.757798	1.233079	0.005780	24.105472	0.018324	0.743215	1.790848	2.148437	1678.939719
8	-12.086190	-5958.463560	-1186.082510	1.918102	0.820592	0.057127	24.090657	0.013289	0.697362	1.569337	1.993699	1670.059360
9	-11.790030	-6057.289547	-1188.899432	1.735534	0.900149	0.110837	25.798104	0.153756	0.854153	2.110497	2.289187	1710.892025
10	-12.296220	-5964.211933	-1194.648093	1.791019	0.925009	0.035153	24.841698	0.144073	0.777986	1.975920	2.285313	1689.028064
11	-12.428699	-5960.044920	-1192.453851	1.783197	0.977991	0.027611	24.782769	0.016635	0.722053	1.832609	2.254269	1692.668574
12	-12.514246	-5978.456355	-1199.490480	1.795263	0.979820	0.023106	24.483837	0.048241	0.780545	2.021213	2.331885	1701.641414
13	-12.261059	-6010.902245	-1193.993596	1.772261	1.001851	0.037427	23.787256	0.041197	0.842651	2.252616	2.464202	1696.322965
14	-12.886229	-6016.042863	-1190.524402	1.766345	0.989238	0.009972	24.146552	0.021331	0.715106	1.871167	2.321874	1705.262318
15	-12.960765	-5974.256599	-1188.178093	1.785350	0.978443	0.008147	23.628603	0.032668	0.744366	1.689041	2.023675	1688.194364
16	-12.411348	-5992.365908	-1180.330697	1.793489	0.829817	0.022863	24.079670	0.037506	0.814103	1.929229	2.159173	1690.894729
17	-11.799363	-5983.078781	-1189.935843	1.830479	0.763812	0.089250	24.003999	0.012316	0.806597	1.917378	2.159780	1690.182188
18	-12.341803	-6016.783392	-1194.612296	1.768791	0.903660	0.029332	24.615259	0.182191	0.754718	1.962161	2.324265	1709.857355
19	-12.638265	-6010.891992	-1190.531105	1.790357	0.878434	0.016132	24.753917	0.229727	0.799353	2.072341	2.349330	1708.977374
20	-12.087107	-6016.593761	-1179.827460	1.775959	0.959253	0.053095	24.131538	0.029123	0.851898	2.089776	2.270426	1702.281772
21	-12.351248	-5974.367950	-1195.435970	1.833545	0.958125	0.035444	24.917641	0.108934	0.747686	1.954412	2.332951	1688.615681
